objectID,dimensionType,dimension,unitName
46710,width,62.1,centimeters
46710,height,57.9,centimeters
50243,width,33.0,centimeters
50243,height,55.0,centimeters
50246,width,127.4,centimeters
50246,height,97.9,centimeters
50248,width,49.8,centimeters
50248,height,56.5,centimeters
50252,width,79.5,centimeters
50252,height,99.7,centimeters
50258,width,121.7,centimeters
50258,height,139.0,centimeters
50260,width,102.9,centimeters
50260,height,76.8,centimeters
50307,width,73.5,centimeters
50307,height,86.6,centimeters
50300,width,74.0,centimeters
50300,height,89.9,centimeters
50301,width,74.0,centimeters
50301,height,89.6,centimeters
50303,width,62.3,centimeters
50303,height,76.2,centimeters
50304,width,62.6,centimeters
50304,height,76.2,centimeters
50305,width,62.3,centimeters
50305,height,75.3,centimeters
50306,width,62.6,centimeters
50306,height,75.5,centimeters
50308,width,73.3,centimeters
50308,height,86.4,centimeters
50664,width,100.6,centimeters
50664,height,80.7,centimeters
50346,width,63.3,centimeters
50346,height,47.0,centimeters
50349,width,62.2,centimeters
50349,height,45.7,centimeters
50367,width,64.0,centimeters
50367,height,47.4,centimeters
50368,width,63.5,centimeters
50368,height,47.7,centimeters
50372,width,62.8,centimeters
50372,height,47.3,centimeters
50391,width,63.8,centimeters
50391,height,47.8,centimeters
50392,width,62.6,centimeters
50392,height,46.9,centimeters
50436,width,63.9,centimeters
50436,height,47.5,centimeters
50483,width,63.0,centimeters
50483,height,46.3,centimeters
50504,width,63.0,centimeters
50504,height,45.0,centimeters
50590,width,78.0,centimeters
50590,height,55.1,centimeters
50591,width,64.0,centimeters
50591,height,48.0,centimeters
50592,width,62.5,centimeters
50592,height,47.0,centimeters
50593,width,63.0,centimeters
50593,height,46.7,centimeters
50594,width,61.1,centimeters
50594,height,46.4,centimeters
50595,width,62.9,centimeters
50595,height,47.5,centimeters
50596,width,60.1,centimeters
50596,height,46.5,centimeters
50597,width,62.8,centimeters
50597,height,47.5,centimeters
50598,width,63.0,centimeters
50598,height,47.5,centimeters
50599,width,62.6,centimeters
50599,height,46.5,centimeters
50600,width,62.2,centimeters
50600,height,46.6,centimeters
50601,width,61.2,centimeters
50601,height,46.3,centimeters
50603,width,59.8,centimeters
50603,height,46.0,centimeters
50606,width,62.5,centimeters
50606,height,47.0,centimeters
50607,width,63.3,centimeters
50607,height,47.4,centimeters
50610,width,62.6,centimeters
50610,height,46.5,centimeters
50611,width,63.3,centimeters
50611,height,47.6,centimeters
50612,width,63.0,centimeters
50612,height,47.2,centimeters
50613,width,62.8,centimeters
50613,height,47.0,centimeters
50614,width,62.7,centimeters
50614,height,47.0,centimeters
50615,width,62.9,centimeters
50615,height,47.0,centimeters
50616,width,62.6,centimeters
50616,height,47.5,centimeters
50617,width,62.9,centimeters
50617,height,46.1,centimeters
50618,width,62.0,centimeters
50618,height,46.4,centimeters
50620,width,62.3,centimeters
50620,height,46.8,centimeters
50621,width,60.0,centimeters
50621,height,45.1,centimeters
50622,width,62.4,centimeters
50622,height,46.4,centimeters
50623,width,60.8,centimeters
50623,height,46.3,centimeters
50624,width,51.0,centimeters
50624,height,37.8,centimeters
50628,width,56.2,centimeters
50628,height,37.8,centimeters
50639,width,56.4,centimeters
50639,height,37.8,centimeters
50643,width,56.7,centimeters
50643,height,37.4,centimeters
50645,width,56.4,centimeters
50645,height,37.8,centimeters
50649,width,56.4,centimeters
50649,height,37.8,centimeters
50650,width,63.4,centimeters
50650,height,46.8,centimeters
